num	dur_s	rms_db	f0_hz	voiced	gaps	file
084	2.38	-10.2	201	0.86	0	mayuri_line_084_0272.7s.mp3
085	1.50	-10.6	229	0.88	0	mayuri_line_085_0275.4s.mp3
086	2.56	-10.1	187	0.77	0	mayuri_line_086_0277.2s.mp3
087	5.13	-10.2	234	0.81	1	mayuri_line_087_0280.3s.mp3
088	7.30	-10.5	241	0.73	4	mayuri_line_088_0285.7s.mp3
089	7.22	-10.1	227	0.75	5	mayuri_line_089_0293.5s.mp3
090	2.99	-10.4	222	0.84	0	mayuri_line_090_0301.0s.mp3
091	2.38	-12.4	142	0.76	0	mayuri_line_091_0304.6s.mp3
092	1.18	-8.1	317	0.91	0	mayuri_line_092_0307.4s.mp3
093	11.71	-10.1	281	0.80	4	mayuri_line_093_0308.9s.mp3
094	1.40	-13.0	269	0.96	0	mayuri_line_094_0321.3s.mp3
095	1.53	-9.9	219	0.84	0	mayuri_line_095_0323.0s.mp3
096	2.87	-10.4	212	0.85	0	mayuri_line_096_0325.4s.mp3
097	3.14	-10.0	221	0.81	2	mayuri_line_097_0328.5s.mp3
098	2.38	-8.9	221	0.84	0	mayuri_line_098_0332.0s.mp3
099	0.45	-10.3	139	0.86	0	mayuri_line_099_0335.2s.mp3
100	0.80	-13.4	132	0.79	0	mayuri_line_100_0336.1s.mp3
101	0.91	-10.4	308	0.79	0	mayuri_line_101_0337.3s.mp3
102	2.74	-12.1	216	0.56	2	mayuri_line_102_0338.6s.mp3
103	2.73	-9.1	198	0.91	0	mayuri_line_103_0343.0s.mp3
104	2.02	-9.6	250	0.78	1	mayuri_line_104_0346.4s.mp3
105	3.44	-11.1	212	0.80	0	mayuri_line_105_0349.0s.mp3
106	2.07	-10.9	147	0.79	1	mayuri_line_106_0352.8s.mp3
107	0.97	-9.3	196	0.93	0	mayuri_line_107_0355.7s.mp3
108	8.37	-10.9	213	0.84	3	mayuri_line_108_0356.9s.mp3
109	0.30	-9.4	256	0.86	0	mayuri_line_109_0366.1s.mp3
110	2.66	-10.3	188	0.78	0	mayuri_line_110_0366.6s.mp3
111	16.97	-10.1	278	0.79	3	mayuri_line_111_0369.6s.mp3
112	2.81	-10.7	288	0.80	1	mayuri_line_112_0386.8s.mp3
113	1.20	-11.5	178	0.81	0	mayuri_line_113_0389.9s.mp3
114	0.44	-11.1	142	0.86	0	mayuri_line_114_0391.4s.mp3
115	1.36	-11.5	150	0.78	0	mayuri_line_115_0392.4s.mp3
