num	dur_s	rms_db	peak_db	f0_hz	voiced	gaps	file
076	1.57	-11.3	-1.2	281	0.93	0	boruto_main_076_0333.0s.mp3
077	8.40	-12.2	-0.6	288	0.80	2	boruto_main_077_0334.9s.mp3
078	5.44	-12.4	-1.2	286	0.78	3	boruto_main_078_0343.7s.mp3
079	0.57	-15.4	-1.9	296	0.64	0	boruto_main_079_0350.3s.mp3
080	0.31	-21.1	-7.8	276	0.72	0	boruto_main_080_0351.7s.mp3
081	1.91	-13.5	-1.3	291	0.58	2	boruto_main_081_0352.5s.mp3
082	3.44	-13.7	-1.2	327	0.70	1	boruto_main_082_0356.0s.mp3
083	4.07	-12.6	-1.5	299	0.80	2	boruto_main_083_0360.0s.mp3
084	1.94	-12.9	-1.5	299	0.62	2	boruto_main_084_0364.8s.mp3
085	2.33	-13.3	-1.3	218	0.87	0	boruto_main_085_0367.1s.mp3
086	3.38	-14.1	-1.5	234	0.76	1	boruto_main_086_0370.4s.mp3
087	1.24	-16.3	-2.4	178	0.74	0	boruto_main_087_0374.6s.mp3
088	2.48	-12.2	-1.4	244	0.85	1	boruto_main_088_0376.5s.mp3
089	2.81	-11.6	-1.4	222	0.81	1	boruto_main_089_0379.6s.mp3
090	1.21	-20.2	-4.5	163	0.90	0	boruto_main_090_0383.2s.mp3
091	2.00	-14.0	-1.7	248	0.83	1	boruto_main_091_0384.6s.mp3
092	4.36	-14.7	-1.4	269	0.71	2	boruto_main_092_0387.5s.mp3
093	1.03	-20.8	-2.5	163	0.89	0	boruto_main_093_0392.8s.mp3
094	1.71	-14.2	-1.6	216	0.86	0	boruto_main_094_0394.8s.mp3
095	3.73	-16.4	-1.6	242	0.78	1	boruto_main_095_0397.5s.mp3
096	0.29	-20.3	-6.2	299	0.59	0	boruto_main_096_0401.9s.mp3
097	2.19	-14.0	-1.7	356	0.65	2	boruto_main_097_0402.5s.mp3
098	1.16	-14.3	-1.5	261	0.54	1	boruto_main_098_0405.5s.mp3
099	1.36	-13.6	-1.5	271	0.84	0	boruto_main_099_0407.0s.mp3
100	1.06	-12.4	-1.8	323	0.84	0	boruto_main_100_0409.3s.mp3
101	2.35	-12.9	-1.3	262	0.77	0	boruto_main_101_0410.8s.mp3
102	4.25	-15.0	-1.2	302	0.78	3	boruto_main_102_0414.3s.mp3
103	0.95	-17.5	-1.9	254	0.66	0	boruto_main_103_0419.3s.mp3
104	2.10	-11.7	-1.2	314	0.87	0	boruto_main_104_0420.6s.mp3
105	4.18	-13.3	-1.3	281	0.75	1	boruto_main_105_0423.7s.mp3
106	2.14	-12.7	-1.4	181	0.50	2	boruto_main_106_0428.9s.mp3
107	3.73	-14.2	-1.5	224	0.80	2	boruto_main_107_0432.4s.mp3
108	2.96	-13.4	-1.4	269	0.65	1	boruto_main_108_0436.9s.mp3
109	0.27	-22.2	-6.3	294	0.68	0	boruto_main_109_0440.9s.mp3
110	1.61	-11.8	-1.4	314	0.85	1	boruto_main_110_0441.5s.mp3
111	0.38	-17.8	-1.9	314	0.42	0	boruto_main_111_0444.0s.mp3
112	1.23	-12.4	-1.5	291	0.79	1	boruto_main_112_0444.6s.mp3
113	2.22	-14.4	-1.4	211	0.71	1	boruto_main_113_0446.9s.mp3
114	2.38	-14.8	-1.6	248	0.82	0	boruto_main_114_0449.6s.mp3
115	1.39	-15.1	-2.0	216	0.69	1	boruto_main_115_0453.2s.mp3
116	2.24	-14.0	-1.5	262	0.83	1	boruto_main_116_0455.2s.mp3
117	2.76	-13.3	-1.4	229	0.88	1	boruto_main_117_0458.6s.mp3
118	0.67	-16.0	-1.9	257	0.80	0	boruto_main_118_0462.0s.mp3
119	2.06	-11.6	-1.4	305	0.76	1	boruto_main_119_0462.9s.mp3
120	2.89	-14.6	-1.5	182	0.84	0	boruto_main_120_0466.0s.mp3
121	3.93	-12.2	-1.4	281	0.91	1	boruto_main_121_0470.1s.mp3
122	3.44	-12.6	-1.2	302	0.85	1	boruto_main_122_0475.0s.mp3
123	3.48	-13.5	-1.6	177	0.75	2	boruto_main_123_0479.4s.mp3
124	0.66	-17.2	-2.0	190	0.78	0	boruto_main_124_0484.0s.mp3
125	3.50	-11.5	-1.3	254	0.78	2	boruto_main_125_0485.1s.mp3
126	2.84	-14.5	-1.5	246	0.85	0	boruto_main_126_0489.4s.mp3
127	3.94	-13.4	-1.4	296	0.77	2	boruto_main_127_0493.5s.mp3
128	2.64	-13.6	-1.4	269	0.71	1	boruto_main_128_0498.5s.mp3
129	3.89	-12.9	-1.6	302	0.88	1	boruto_main_129_0502.4s.mp3
130	0.75	-18.8	-5.1	213	0.84	0	boruto_main_130_0507.5s.mp3
131	3.06	-14.5	-1.6	327	0.66	2	boruto_main_131_0509.1s.mp3
132	1.45	-17.0	-2.0	239	0.67	0	boruto_main_132_0513.8s.mp3
133	1.32	-12.4	-1.5	340	0.72	1	boruto_main_133_0515.7s.mp3
134	0.72	-19.9	-2.7	182	0.90	0	boruto_main_134_0518.0s.mp3
135	1.23	-16.1	-2.6	193	0.81	0	boruto_main_135_0519.8s.mp3
136	1.59	-14.6	-1.6	232	0.80	1	boruto_main_136_0521.5s.mp3
137	0.56	-21.3	-6.9	150	0.96	0	boruto_main_137_0524.2s.mp3
138	1.41	-17.5	-1.6	167	0.79	1	boruto_main_138_0525.6s.mp3
139	0.53	-14.2	-1.6	281	0.64	0	boruto_main_139_0528.3s.mp3
140	1.71	-15.4	-1.7	340	0.53	1	boruto_main_140_0529.8s.mp3
141	6.06	-13.9	-1.3	320	0.71	3	boruto_main_141_0532.5s.mp3
142	2.91	-14.6	-1.5	333	0.77	1	boruto_main_142_0539.4s.mp3
143	2.56	-15.8	-1.7	314	0.65	1	boruto_main_143_0543.1s.mp3
144	1.69	-17.7	-2.1	190	0.68	1	boruto_main_144_0546.4s.mp3
145	1.88	-11.9	-1.5	246	0.90	0	boruto_main_145_0548.4s.mp3
146	1.70	-13.0	-1.9	216	0.85	0	boruto_main_146_0550.7s.mp3
147	1.12	-23.1	-5.0	179	0.87	0	boruto_main_147_0553.2s.mp3
148	1.41	-13.8	-1.6	302	0.85	0	boruto_main_148_0554.7s.mp3
149	2.53	-13.4	-1.2	333	0.72	1	boruto_main_149_0556.4s.mp3
150	2.24	-15.8	-1.7	219	0.64	1	boruto_main_150_0560.1s.mp3
151	1.86	-15.2	-1.7	178	0.86	1	boruto_main_151_0563.3s.mp3
152	0.55	-30.2	-15.2	150	1.00	0	boruto_main_152_0565.5s.mp3
153	0.66	-16.3	-1.8	202	0.64	0	boruto_main_153_0566.5s.mp3
154	1.59	-14.2	-1.7	250	0.82	0	boruto_main_154_0567.7s.mp3
155	4.51	-13.0	-1.4	308	0.77	3	boruto_main_155_0570.1s.mp3
156	2.57	-12.2	-1.5	252	0.91	0	boruto_main_156_0575.5s.mp3
157	0.87	-14.6	-1.9	244	0.86	0	boruto_main_157_0578.4s.mp3
158	1.60	-12.4	-1.6	356	0.85	0	boruto_main_158_0579.7s.mp3
159	3.39	-13.0	-1.5	286	0.83	1	boruto_main_159_0582.3s.mp3
160	6.32	-14.1	-1.4	302	0.78	2	boruto_main_160_0586.7s.mp3
161	0.82	-21.2	-3.0	190	0.86	0	boruto_main_161_0594.0s.mp3
162	0.79	-15.7	-1.8	291	0.69	1	boruto_main_162_0595.4s.mp3
163	2.85	-11.8	-1.5	286	0.77	1	boruto_main_163_0597.2s.mp3
