name	dur	rms	peak	crest	f0	voiced	gaps	intensity
yamamoto_line_125_0277.6s.mp3	1.25	-13.1	0.1	13.2	147	0.93	0	0.59
yamamoto_line_106_0243.4s.mp3	1.26	-11.2	-0.1	11.1	176	0.96	0	0.67
yamamoto_line_107_0245.2s.mp3	1.26	-13.0	-0.1	12.9	105	0.90	0	0.61
yamamoto_line_065_0148.8s.mp3	1.28	-10.5	0.6	11.1	308	0.78	1	0.72
yamamoto_line_093_0211.2s.mp3	1.28	-11.7	0.1	11.9	222	0.96	0	0.68
yamamoto_line_122_0272.7s.mp3	1.28	-12.4	-0.1	12.3	142	0.87	0	0.62
yamamoto_line_137_0300.1s.mp3	1.29	-12.1	0.0	12.2	195	0.81	0	0.56
yamamoto_line_024_0058.0s.mp3	1.33	-11.9	-0.1	11.7	254	0.94	0	0.64
yamamoto_line_089_0199.2s.mp3	1.33	-11.7	0.0	11.7	208	0.89	0	0.69
yamamoto_line_127_0282.3s.mp3	1.34	-10.6	-0.0	10.5	162	0.95	0	0.76
yamamoto_line_141_0307.0s.mp3	1.34	-11.4	0.0	11.4	153	0.92	0	0.73
yamamoto_line_088_0197.5s.mp3	1.36	-11.4	0.4	11.8	193	0.93	0	0.68
yamamoto_line_097_0221.3s.mp3	1.36	-14.8	-0.2	14.6	129	0.90	0	0.55
yamamoto_line_009_0024.3s.mp3	1.39	-13.2	-0.4	12.9	134	0.97	0	0.69
yamamoto_line_151_0337.5s.mp3	1.40	-11.6	0.4	12.0	302	0.93	0	0.64
yamamoto_line_059_0138.7s.mp3	1.44	-11.1	0.2	11.3	208	0.96	0	0.74
yamamoto_line_067_0152.3s.mp3	1.45	-11.0	0.4	11.4	194	0.92	0	0.69
yamamoto_line_102_0233.1s.mp3	1.46	-10.2	0.5	10.7	271	0.98	0	0.74
yamamoto_line_036_0082.4s.mp3	1.48	-13.6	-0.2	13.4	119	0.86	0	0.57
yamamoto_line_008_0022.4s.mp3	1.49	-11.8	0.8	12.6	254	0.71	0	0.55
yamamoto_line_023_0056.1s.mp3	1.52	-11.5	0.3	11.8	178	0.97	0	0.72
yamamoto_line_043_0101.5s.mp3	1.54	-10.5	0.3	10.7	162	0.97	0	0.80
yamamoto_line_051_0124.7s.mp3	1.54	-12.3	-0.2	12.1	138	0.88	0	0.58
yamamoto_line_052_0126.8s.mp3	1.55	-13.6	0.1	13.7	248	0.94	0	0.62
yamamoto_line_114_0257.5s.mp3	1.55	-11.4	0.0	11.4	216	0.83	0	0.72
yamamoto_line_035_0080.6s.mp3	1.56	-11.4	0.4	11.9	97	0.81	1	0.66
yamamoto_line_060_0140.5s.mp3	1.58	-10.1	0.3	10.4	111	0.97	0	0.82
yamamoto_line_080_0182.1s.mp3	1.61	-10.2	0.1	10.3	145	0.96	0	0.86
yamamoto_line_079_0179.9s.mp3	1.63	-12.0	0.2	12.2	167	0.92	0	0.70
yamamoto_line_145_0314.1s.mp3	1.63	-11.2	0.4	11.7	211	0.83	0	0.71
yamamoto_line_064_0146.7s.mp3	1.65	-12.6	-0.1	12.5	131	0.93	0	0.69
yamamoto_line_128_0284.0s.mp3	1.66	-12.4	-0.1	12.3	209	0.79	0	0.57
yamamoto_line_066_0150.3s.mp3	1.71	-12.8	-0.1	12.7	172	0.72	0	0.59
yamamoto_line_001_0000.0s.mp3	1.74	-11.6	0.6	12.2	258	0.74	0	0.61
yamamoto_line_100_0229.9s.mp3	1.74	-13.3	-0.1	13.2	134	0.92	0	0.65
yamamoto_line_013_0032.9s.mp3	1.77	-11.3	0.1	11.4	176	0.97	0	0.81
yamamoto_line_134_0293.9s.mp3	1.77	-12.9	0.0	12.9	140	0.87	0	0.66
yamamoto_line_061_0142.5s.mp3	1.78	-13.1	-0.1	12.9	138	0.90	0	0.68
yamamoto_line_071_0157.5s.mp3	1.79	-12.7	-0.3	12.3	203	0.85	0	0.54
yamamoto_line_017_0041.6s.mp3	1.82	-11.8	0.3	12.1	193	0.94	0	0.60
yamamoto_line_153_0342.6s.mp3	1.83	-11.4	0.2	11.6	190	0.98	0	0.80
yamamoto_line_058_0136.6s.mp3	1.85	-12.7	0.1	12.8	143	0.93	0	0.66
yamamoto_line_055_0131.1s.mp3	1.87	-13.7	0.0	13.7	155	0.78	0	0.49
yamamoto_line_027_0068.0s.mp3	1.88	-10.2	0.6	10.8	296	0.92	0	0.76
yamamoto_line_010_0026.2s.mp3	1.89	-14.2	-0.4	13.9	129	0.95	0	0.60
yamamoto_line_082_0185.5s.mp3	1.89	-12.0	0.1	12.1	142	0.97	0	0.70
yamamoto_line_074_0170.3s.mp3	1.94	-13.8	-0.0	13.7	162	0.92	0	0.58
yamamoto_line_113_0255.1s.mp3	1.95	-11.1	0.1	11.2	302	0.95	0	0.68
yamamoto_line_090_0200.9s.mp3	1.97	-12.6	0.3	12.9	180	0.92	0	0.68
yamamoto_line_087_0195.1s.mp3	2.11	-12.4	0.4	12.8	241	0.86	0	0.63
yamamoto_line_021_0052.0s.mp3	2.14	-11.8	0.7	12.6	140	0.77	1	0.63
yamamoto_line_025_0060.0s.mp3	2.16	-11.8	0.3	12.0	111	0.97	0	0.78
yamamoto_line_029_0070.7s.mp3	2.16	-11.7	0.8	12.5	211	0.64	2	0.62
yamamoto_line_007_0019.9s.mp3	2.19	-13.2	-0.1	13.1	190	0.73	1	0.52
yamamoto_line_142_0309.1s.mp3	2.20	-13.4	0.0	13.4	137	0.94	0	0.63
yamamoto_line_109_0249.0s.mp3	2.21	-12.0	0.3	12.2	190	0.86	0	0.61
yamamoto_line_136_0297.4s.mp3	2.21	-11.9	0.2	12.1	208	0.91	0	0.63
yamamoto_line_030_0073.2s.mp3	2.24	-13.0	-0.1	12.9	142	0.87	0	0.60
yamamoto_line_140_0304.2s.mp3	2.36	-15.3	-0.3	15.0	131	0.92	0	0.52
yamamoto_line_149_0330.4s.mp3	2.39	-12.4	0.4	12.8	215	0.82	1	0.64
yamamoto_line_130_0287.9s.mp3	2.42	-12.3	-0.2	12.2	200	0.87	0	0.60
yamamoto_line_050_0121.8s.mp3	2.45	-12.4	0.2	12.7	182	0.74	2	0.59
yamamoto_line_126_0279.4s.mp3	2.52	-12.9	0.0	12.9	145	0.92	0	0.65
yamamoto_line_152_0339.5s.mp3	2.54	-11.9	0.4	12.2	213	0.94	0	0.70
yamamoto_line_075_0172.7s.mp3	2.59	-11.1	0.1	11.1	205	0.92	0	0.68
yamamoto_line_083_0187.7s.mp3	2.59	-13.9	0.1	13.9	139	0.92	0	0.60
yamamoto_line_096_0218.0s.mp3	2.59	-13.0	0.0	13.0	150	0.78	0	0.57
yamamoto_line_091_0203.2s.mp3	2.63	-11.3	0.1	11.5	180	0.89	1	0.63
